step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-956.91
900000,-1000.0,-1000.0,-894.22
1000000,-1000.0,-981.0,-784.4499999999998
1100000,-966.8399999999999,-838.83,-700.5699999999999
1200000,-815.99,-752.99,-548.8649999999999
1300000,-791.4050000000001,-593.79,-388.67999999999995
1400000,-648.765,-473.79,-313.18500000000006
1500000,-470.485,-277.92,-229.56500000000003
1600000,-480.0249999999999,-248.93,-148.035
1700000,-335.43500000000006,-196.42000000000002,-66.19999999999999
1800000,-242.99999999999997,-104.24,-62.9
1900000,-165.69,-102.1,-63.45
2000000,-134.01,-72.9,-62.449999999999996
2100000,-92.32000000000002,-65.8,-60.54999999999999
2200000,-84.66000000000001,-65.8,-60.54999999999999
2300000,-75.39999999999999,-64.60000000000001,-60.54999999999999
2400000,-75.39999999999999,-64.60000000000001,-60.54999999999999
2500000,-75.39999999999999,-64.60000000000001,-60.54999999999999
2600000,-73.24999999999999,-64.0,-59.79999999999999
2700000,-75.39999999999999,-64.60000000000001,-60.54999999999999
2800000,-75.39999999999999,-64.60000000000001,-60.54999999999999
2900000,-73.24999999999999,-64.0,-59.79999999999999
3000000,-73.24999999999999,-64.0,-59.79999999999999
3100000,-73.24999999999999,-64.0,-59.79999999999999
3200000,-73.24999999999999,-64.0,-59.79999999999999
3300000,-73.24999999999999,-64.0,-59.79999999999999
3400000,-73.24999999999999,-64.0,-59.79999999999999
3500000,-73.24999999999999,-64.0,-59.79999999999999
3600000,-73.24999999999999,-64.0,-59.79999999999999
3700000,-73.24999999999999,-64.0,-59.79999999999999
3800000,-73.24999999999999,-64.0,-59.79999999999999
3900000,-73.24999999999999,-64.0,-59.79999999999999
4000000,-73.24999999999999,-64.0,-59.79999999999999
4100000,-73.24999999999999,-64.0,-59.79999999999999
4200000,-73.24999999999999,-64.0,-59.79999999999999
4300000,-73.24999999999999,-64.0,-59.79999999999999
4400000,-73.24999999999999,-64.0,-59.79999999999999
4500000,-73.24999999999999,-64.0,-59.79999999999999
4600000,-73.24999999999999,-64.0,-59.79999999999999
4700000,-73.24999999999999,-64.0,-59.79999999999999
4800000,-73.24999999999999,-64.0,-59.79999999999999
4900000,-73.24999999999999,-64.0,-59.79999999999999
5000000,-73.24999999999999,-64.0,-59.79999999999999
5100000,-73.24999999999999,-64.0,-59.79999999999999
5200000,-73.24999999999999,-64.0,-59.79999999999999
5300000,-73.24999999999999,-64.0,-59.79999999999999
5400000,-73.24999999999999,-64.0,-59.79999999999999
5500000,-73.24999999999999,-64.0,-59.79999999999999
5600000,-73.24999999999999,-64.0,-59.79999999999999
5700000,-73.24999999999999,-64.0,-59.79999999999999
5800000,-73.24999999999999,-64.0,-59.79999999999999
5900000,-73.24999999999999,-64.0,-59.79999999999999
6000000,-73.24999999999999,-64.0,-59.79999999999999
6100000,-73.24999999999999,-64.0,-59.79999999999999
6200000,-73.24999999999999,-64.0,-59.79999999999999
6300000,-73.24999999999999,-64.0,-59.79999999999999
6400000,-73.24999999999999,-64.0,-59.79999999999999
6500000,-73.24999999999999,-64.0,-59.79999999999999
6600000,-73.24999999999999,-64.0,-59.79999999999999
6700000,-73.24999999999999,-64.0,-59.79999999999999
6800000,-73.24999999999999,-64.0,-59.79999999999999
6900000,-73.24999999999999,-64.0,-59.79999999999999
7000000,-73.24999999999999,-64.0,-59.79999999999999
7100000,-73.24999999999999,-64.0,-59.79999999999999
7200000,-73.24999999999999,-64.0,-59.79999999999999
7300000,-73.24999999999999,-64.0,-59.79999999999999
7400000,-73.24999999999999,-64.0,-59.79999999999999
7500000,-73.24999999999999,-64.0,-59.79999999999999
7600000,-73.24999999999999,-64.0,-59.79999999999999
7700000,-73.24999999999999,-64.0,-59.79999999999999
7800000,-73.24999999999999,-64.0,-59.79999999999999
7900000,-73.24999999999999,-64.0,-59.79999999999999
8000000,-73.24999999999999,-64.0,-59.79999999999999
8100000,-73.24999999999999,-64.0,-59.79999999999999
8200000,-73.24999999999999,-64.0,-59.79999999999999
8300000,-73.24999999999999,-64.0,-59.79999999999999
8400000,-73.24999999999999,-64.0,-59.79999999999999
8500000,-73.24999999999999,-64.0,-59.79999999999999
8600000,-73.24999999999999,-64.0,-59.79999999999999
8700000,-73.24999999999999,-64.0,-59.79999999999999
8800000,-73.24999999999999,-64.0,-59.79999999999999
8900000,-73.24999999999999,-64.0,-59.79999999999999
9000000,-73.24999999999999,-64.0,-59.79999999999999
9100000,-73.24999999999999,-64.0,-59.79999999999999
9200000,-73.24999999999999,-64.0,-59.79999999999999
9300000,-73.24999999999999,-64.0,-59.79999999999999
9400000,-73.24999999999999,-64.0,-59.79999999999999
9500000,-73.24999999999999,-64.0,-59.79999999999999
9600000,-73.24999999999999,-64.0,-59.79999999999999
9700000,-73.24999999999999,-64.0,-59.79999999999999
9800000,-73.24999999999999,-64.0,-59.79999999999999
9900000,-73.24999999999999,-64.0,-59.79999999999999
10000000,-73.24999999999999,-64.0,-59.79999999999999
