step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-995.19
700000,-1000.0,-1000.0,-832.67
800000,-1000.0,-962.16,-739.21
900000,-1000.0,-780.8200000000002,-536.27
1000000,-864.25,-643.32,-431.55999999999995
1100000,-755.29,-502.71999999999997,-277.32
1200000,-594.1200000000001,-397.72,-243.62500000000003
1300000,-460.65999999999997,-284.49,-193.48499999999999
1400000,-350.41,-261.42,-105.55000000000001
1500000,-277.30499999999995,-221.56,-69.74000000000001
1600000,-240.93999999999997,-173.7,-63.4
1700000,-231.27,-114.99,-64.05000000000001
1800000,-221.305,-85.52000000000001,-64.05000000000001
1900000,-136.44,-76.6,-63.4
2000000,-109.83500000000001,-75.9,-63.4
2100000,-87.4,-75.9,-63.4
2200000,-86.75,-75.9,-63.4
2300000,-86.75,-75.9,-63.4
2400000,-86.75,-75.9,-63.4
2500000,-83.6,-75.0,-62.54999999999999
2600000,-86.75,-75.9,-63.4
2700000,-86.75,-75.9,-63.4
2800000,-83.6,-75.0,-62.54999999999999
2900000,-83.6,-75.0,-62.54999999999999
3000000,-83.6,-75.0,-62.54999999999999
3100000,-83.6,-75.0,-62.54999999999999
3200000,-83.6,-75.0,-62.54999999999999
3300000,-83.6,-75.0,-62.54999999999999
3400000,-83.6,-75.0,-62.54999999999999
3500000,-83.6,-75.0,-62.54999999999999
3600000,-83.6,-75.0,-62.54999999999999
3700000,-83.6,-75.0,-62.54999999999999
3800000,-83.6,-75.0,-62.54999999999999
3900000,-83.6,-75.0,-62.54999999999999
4000000,-83.6,-75.0,-62.54999999999999
4100000,-83.6,-75.0,-62.54999999999999
4200000,-83.6,-75.0,-62.54999999999999
4300000,-83.6,-75.0,-62.54999999999999
4400000,-83.6,-75.0,-62.54999999999999
4500000,-83.6,-75.0,-62.54999999999999
4600000,-83.6,-75.0,-62.54999999999999
4700000,-83.6,-75.0,-62.54999999999999
4800000,-83.6,-75.0,-62.54999999999999
4900000,-83.6,-75.0,-62.54999999999999
5000000,-83.6,-75.0,-62.54999999999999
5100000,-83.6,-75.0,-62.54999999999999
5200000,-83.6,-75.0,-62.54999999999999
5300000,-83.6,-75.0,-62.54999999999999
5400000,-83.6,-75.0,-62.54999999999999
5500000,-83.6,-75.0,-62.54999999999999
5600000,-83.6,-75.0,-62.54999999999999
5700000,-83.6,-75.0,-62.54999999999999
5800000,-83.6,-75.0,-62.54999999999999
5900000,-83.6,-75.0,-62.54999999999999
6000000,-83.6,-75.0,-62.54999999999999
6100000,-83.6,-75.0,-62.54999999999999
6200000,-83.6,-75.0,-62.54999999999999
6300000,-83.6,-75.0,-62.54999999999999
6400000,-83.6,-75.0,-62.54999999999999
6500000,-83.6,-75.0,-62.54999999999999
6600000,-83.6,-75.0,-62.54999999999999
6700000,-83.6,-75.0,-62.54999999999999
6800000,-83.6,-75.0,-62.54999999999999
6900000,-83.6,-75.0,-62.54999999999999
7000000,-83.6,-75.0,-62.54999999999999
7100000,-83.6,-75.0,-62.54999999999999
7200000,-83.6,-75.0,-62.54999999999999
7300000,-83.6,-75.0,-62.54999999999999
7400000,-83.6,-75.0,-62.54999999999999
7500000,-83.6,-75.0,-62.54999999999999
7600000,-83.6,-75.0,-62.54999999999999
7700000,-83.6,-75.0,-62.54999999999999
7800000,-83.6,-75.0,-62.54999999999999
7900000,-83.6,-75.0,-62.54999999999999
8000000,-83.6,-75.0,-62.54999999999999
8100000,-83.6,-75.0,-62.54999999999999
8200000,-83.6,-75.0,-62.54999999999999
8300000,-83.6,-75.0,-62.54999999999999
8400000,-83.6,-75.0,-62.54999999999999
8500000,-83.6,-75.0,-62.54999999999999
8600000,-83.6,-75.0,-62.54999999999999
8700000,-83.6,-75.0,-62.54999999999999
8800000,-83.6,-75.0,-62.54999999999999
8900000,-83.6,-75.0,-62.54999999999999
9000000,-83.6,-75.0,-62.54999999999999
9100000,-83.6,-75.0,-62.54999999999999
9200000,-83.6,-75.0,-62.54999999999999
9300000,-83.6,-75.0,-62.54999999999999
9400000,-83.6,-75.0,-62.54999999999999
9500000,-83.6,-75.0,-62.54999999999999
9600000,-83.6,-75.0,-62.54999999999999
9700000,-83.6,-75.0,-62.54999999999999
9800000,-83.6,-75.0,-62.54999999999999
9900000,-83.6,-75.0,-62.54999999999999
10000000,-83.6,-75.0,-62.54999999999999
