step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-946.9399999999999
1100000,-1000.0,-961.52,-860.0400000000001
1200000,-1000.0,-980.8399999999999,-821.53
1300000,-981.0350000000001,-865.1199999999999,-674.3199999999999
1400000,-976.2,-779.3799999999999,-433.31
1500000,-809.18,-676.3699999999999,-367.035
1600000,-756.4,-534.8399999999999,-240.57
1700000,-511.05500000000006,-375.06,-221.375
1800000,-352.185,-252.7,-104.3
1900000,-300.59,-173.25,-59.34
2000000,-211.235,-80.61999999999999,-49.26
2100000,-220.76,-64.63,-48.0
2200000,-227.085,-74.0,-48.0
2300000,-77.48,-55.1,-48.0
2400000,-129.4,-55.1,-48.0
2500000,-60.4,-55.1,-48.0
2600000,-60.4,-55.1,-48.0
2700000,-60.4,-55.1,-48.0
2800000,-58.9,-55.1,-48.0
2900000,-58.9,-55.1,-48.0
3000000,-58.9,-55.1,-48.0
3100000,-58.9,-55.1,-48.0
3200000,-58.9,-55.1,-48.0
3300000,-58.9,-55.1,-48.0
3400000,-58.9,-55.1,-48.0
3500000,-58.9,-55.1,-48.0
3600000,-58.9,-55.1,-48.0
3700000,-58.9,-55.1,-48.0
3800000,-58.9,-55.1,-48.0
3900000,-58.9,-55.1,-48.0
4000000,-58.9,-55.1,-48.0
4100000,-58.9,-55.1,-48.0
4200000,-58.9,-55.1,-48.0
4300000,-58.9,-55.1,-48.0
4400000,-58.9,-55.1,-48.0
4500000,-58.9,-55.1,-48.0
4600000,-58.9,-55.1,-48.0
4700000,-58.9,-55.1,-48.0
4800000,-58.9,-55.1,-48.0
4900000,-58.9,-55.1,-48.0
5000000,-58.9,-55.1,-48.0
5100000,-58.9,-55.1,-48.0
5200000,-58.9,-55.1,-48.0
5300000,-58.9,-55.1,-48.0
5400000,-58.9,-55.1,-48.0
5500000,-58.9,-55.1,-48.0
5600000,-58.9,-55.1,-48.0
5700000,-58.9,-55.1,-48.0
5800000,-58.9,-55.1,-48.0
5900000,-58.9,-55.1,-48.0
6000000,-58.9,-55.1,-48.0
6100000,-58.9,-55.1,-48.0
6200000,-58.9,-55.1,-48.0
6300000,-58.9,-55.1,-48.0
6400000,-58.9,-55.1,-48.0
6500000,-58.9,-55.1,-48.0
6600000,-58.9,-55.1,-48.0
6700000,-58.9,-55.1,-48.0
6800000,-58.9,-55.1,-48.0
6900000,-58.9,-55.1,-48.0
7000000,-58.9,-55.1,-48.0
7100000,-58.9,-55.1,-48.0
7200000,-58.9,-55.1,-48.0
7300000,-58.9,-55.1,-48.0
7400000,-58.9,-55.1,-48.0
7500000,-58.9,-55.1,-48.0
7600000,-58.9,-55.1,-48.0
7700000,-58.9,-55.1,-48.0
7800000,-58.9,-55.1,-48.0
7900000,-58.9,-55.1,-48.0
8000000,-58.9,-55.1,-48.0
8100000,-58.9,-55.1,-48.0
8200000,-58.9,-55.1,-48.0
8300000,-58.9,-55.1,-48.0
8400000,-58.9,-55.1,-48.0
8500000,-58.9,-55.1,-48.0
8600000,-58.9,-55.1,-48.0
8700000,-58.9,-55.1,-48.0
8800000,-58.9,-55.1,-48.0
8900000,-58.9,-55.1,-48.0
9000000,-58.9,-55.1,-48.0
9100000,-58.9,-55.1,-48.0
9200000,-58.9,-55.1,-48.0
9300000,-58.9,-55.1,-48.0
9400000,-58.9,-55.1,-48.0
9500000,-58.9,-55.1,-48.0
9600000,-58.9,-55.1,-48.0
9700000,-58.9,-55.1,-48.0
9800000,-58.9,-55.1,-48.0
9900000,-58.9,-55.1,-48.0
10000000,-58.9,-55.1,-48.0
