step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-1000.0
1100000,-1000.0,-1000.0,-1000.0
1200000,-1000.0,-1000.0,-1000.0
1300000,-1000.0,-1000.0,-1000.0
1400000,-1000.0,-1000.0,-985.99
1500000,-1000.0,-1000.0,-981.0
1600000,-1000.0,-1000.0,-905.31
1700000,-1000.0,-1000.0,-811.3399999999999
1800000,-1000.0,-1000.0,-696.775
1900000,-1000.0,-1000.0,-595.03
2000000,-1000.0,-1000.0,-462.5350000000001
2100000,-1000.0,-926.1500000000001,-337.85
2200000,-1000.0,-797.06,-280.595
2300000,-1000.0,-714.1600000000001,-250.5
2400000,-1000.0,-514.28,-226.655
2500000,-1000.0,-414.27000000000004,-194.69
2600000,-995.42,-336.77,-174.39499999999998
2700000,-940.2100000000002,-315.54,-89.86000000000001
2800000,-828.9200000000001,-250.54000000000002,-80.95000000000002
2900000,-824.3,-236.76999999999998,-76.45000000000002
3000000,-682.33,-214.35000000000002,-76.45000000000002
3100000,-604.5550000000001,-190.12,-76.45000000000002
3200000,-463.88,-170.57,-75.20000000000002
3300000,-431.5199999999999,-164.75,-76.45000000000002
3400000,-385.84499999999997,-130.13,-75.20000000000002
3500000,-257.69000000000005,-94.4,-75.20000000000002
3600000,-240.29000000000002,-91.1,-72.95000000000002
3700000,-259.24000000000007,-87.91999999999999,-72.95000000000002
3800000,-250.30000000000004,-87.89999999999999,-72.95000000000002
3900000,-213.34500000000003,-86.39999999999999,-72.95000000000002
4000000,-182.91000000000003,-84.10000000000001,-72.95000000000002
4100000,-185.4,-84.10000000000001,-72.95000000000002
4200000,-155.85,-84.10000000000001,-72.95000000000002
4300000,-132.66,-84.10000000000001,-72.95000000000002
4400000,-112.44,-84.10000000000001,-72.95000000000002
4500000,-94.9,-84.10000000000001,-72.95000000000002
4600000,-93.0,-82.70000000000002,-72.95000000000002
4700000,-93.0,-82.70000000000002,-72.95000000000002
4800000,-93.0,-82.70000000000002,-72.95000000000002
4900000,-93.0,-82.70000000000002,-72.95000000000002
5000000,-93.0,-82.70000000000002,-72.95000000000002
5100000,-93.0,-82.70000000000002,-72.95000000000002
5200000,-93.0,-82.70000000000002,-72.95000000000002
5300000,-93.0,-82.70000000000002,-72.95000000000002
5400000,-93.0,-82.70000000000002,-72.95000000000002
5500000,-91.44999999999999,-81.60000000000001,-70.85000000000001
5600000,-93.0,-82.70000000000002,-72.95000000000002
5700000,-93.0,-82.70000000000002,-72.95000000000002
5800000,-91.44999999999999,-81.60000000000001,-70.85000000000001
5900000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6000000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6100000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6200000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6300000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6400000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6500000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6600000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6700000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6800000,-91.44999999999999,-81.60000000000001,-70.85000000000001
6900000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7000000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7100000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7200000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7300000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7400000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7500000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7600000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7700000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7800000,-91.44999999999999,-81.60000000000001,-70.85000000000001
7900000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8000000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8100000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8200000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8300000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8400000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8500000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8600000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8700000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8800000,-91.44999999999999,-81.60000000000001,-70.85000000000001
8900000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9000000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9100000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9200000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9300000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9400000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9500000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9600000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9700000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9800000,-91.44999999999999,-81.60000000000001,-70.85000000000001
9900000,-91.44999999999999,-81.60000000000001,-70.85000000000001
10000000,-91.44999999999999,-81.60000000000001,-70.85000000000001
