step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-1000.0
1100000,-1000.0,-1000.0,-1000.0
1200000,-1000.0,-1000.0,-1000.0
1300000,-1000.0,-1000.0,-985.885
1400000,-1000.0,-1000.0,-832.91
1500000,-1000.0,-1000.0,-760.475
1600000,-1000.0,-1000.0,-592.2099999999999
1700000,-1000.0,-1000.0,-429.68
1800000,-1000.0,-972.38,-413.69
1900000,-1000.0,-880.3599999999999,-283.23
2000000,-1000.0,-788.5600000000001,-242.32
2100000,-1000.0,-626.69,-251.10000000000002
2200000,-1000.0,-486.87,-194.14
2300000,-1000.0,-381.63,-169.84000000000003
2400000,-921.805,-280.22999999999996,-97.67
2500000,-809.8800000000001,-277.02,-85.29
2600000,-795.175,-207.25,-81.25
2700000,-673.7850000000001,-190.1,-80.83999999999999
2800000,-565.3750000000001,-138.98000000000002,-80.15
2900000,-410.74499999999995,-104.61,-79.25
3000000,-352.58,-96.89999999999999,-79.25
3100000,-274.99999999999994,-94.89999999999999,-79.25
3200000,-252.735,-93.69999999999999,-79.25
3300000,-218.01,-93.4,-79.25
3400000,-230.23499999999999,-93.69999999999999,-79.25
3500000,-182.925,-93.4,-79.25
3600000,-134.39000000000001,-93.10000000000001,-79.25
3700000,-112.0,-92.60000000000001,-79.25
3800000,-108.25,-92.20000000000002,-79.25
3900000,-109.15,-92.20000000000002,-79.25
4000000,-103.25,-92.20000000000002,-79.25
4100000,-105.5,-92.20000000000002,-79.25
4200000,-103.25,-92.20000000000002,-79.25
4300000,-100.94999999999999,-92.20000000000002,-79.25
4400000,-100.94999999999999,-92.20000000000002,-79.25
4500000,-100.94999999999999,-92.20000000000002,-79.25
4600000,-100.94999999999999,-92.20000000000002,-79.25
4700000,-100.94999999999999,-92.20000000000002,-79.25
4800000,-100.94999999999999,-92.20000000000002,-79.25
4900000,-100.94999999999999,-92.20000000000002,-79.25
5000000,-100.94999999999999,-92.20000000000002,-79.25
5100000,-100.6,-92.0,-78.85
5200000,-100.6,-92.0,-78.85
5300000,-100.6,-92.0,-78.85
5400000,-100.6,-92.0,-78.85
5500000,-100.6,-92.0,-78.85
5600000,-100.6,-92.0,-78.85
5700000,-100.6,-92.0,-78.85
5800000,-100.6,-92.0,-78.85
5900000,-100.6,-92.0,-78.85
6000000,-100.6,-92.0,-78.85
6100000,-100.6,-92.0,-78.85
6200000,-100.6,-92.0,-78.85
6300000,-100.6,-92.0,-78.85
6400000,-100.6,-92.0,-78.85
6500000,-100.6,-92.0,-78.85
6600000,-100.6,-92.0,-78.85
6700000,-100.6,-92.0,-78.85
6800000,-100.6,-92.0,-78.85
6900000,-100.6,-92.0,-78.85
7000000,-100.6,-92.0,-78.85
7100000,-100.6,-92.0,-78.85
7200000,-100.6,-92.0,-78.85
7300000,-100.6,-92.0,-78.85
7400000,-100.6,-92.0,-78.85
7500000,-100.6,-92.0,-78.85
7600000,-100.6,-92.0,-78.85
7700000,-100.6,-92.0,-78.85
7800000,-100.6,-92.0,-78.85
7900000,-100.6,-92.0,-78.85
8000000,-100.6,-92.0,-78.85
8100000,-100.6,-92.0,-78.85
8200000,-100.6,-92.0,-78.85
8300000,-100.6,-92.0,-78.85
8400000,-100.6,-92.0,-78.85
8500000,-100.6,-92.0,-78.85
8600000,-100.6,-92.0,-78.85
8700000,-100.6,-92.0,-78.85
8800000,-100.6,-92.0,-78.85
8900000,-100.6,-92.0,-78.85
9000000,-100.6,-92.0,-78.85
9100000,-100.6,-92.0,-78.85
9200000,-100.6,-92.0,-78.85
9300000,-100.6,-92.0,-78.85
9400000,-100.6,-92.0,-78.85
9500000,-100.6,-92.0,-78.85
9600000,-100.6,-92.0,-78.85
9700000,-100.6,-92.0,-78.85
9800000,-100.6,-92.0,-78.85
9900000,-100.6,-92.0,-78.85
10000000,-100.6,-92.0,-78.85
