step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-1000.0
1100000,-1000.0,-1000.0,-1000.0
1200000,-1000.0,-1000.0,-1000.0
1300000,-1000.0,-1000.0,-1000.0
1400000,-1000.0,-1000.0,-1000.0
1500000,-1000.0,-1000.0,-1000.0
1600000,-1000.0,-1000.0,-1000.0
1700000,-1000.0,-1000.0,-1000.0
1800000,-1000.0,-1000.0,-1000.0
1900000,-1000.0,-1000.0,-1000.0
2000000,-1000.0,-1000.0,-1000.0
2100000,-1000.0,-1000.0,-1000.0
2200000,-1000.0,-1000.0,-1000.0
2300000,-1000.0,-1000.0,-1000.0
2400000,-1000.0,-1000.0,-1000.0
2500000,-1000.0,-1000.0,-1000.0
2600000,-1000.0,-1000.0,-1000.0
2700000,-1000.0,-1000.0,-1000.0
2800000,-1000.0,-1000.0,-1000.0
2900000,-1000.0,-1000.0,-1000.0
3000000,-1000.0,-1000.0,-957.6099999999999
3100000,-1000.0,-1000.0,-986.065
3200000,-1000.0,-1000.0,-971.6500000000001
3300000,-1000.0,-1000.0,-985.885
3400000,-1000.0,-1000.0,-981.275
3500000,-1000.0,-990.5899999999999,-962.405
3600000,-1000.0,-1000.0,-868.11
3700000,-1000.0,-952.6999999999999,-745.8449999999999
3800000,-1000.0,-924.49,-699.1299999999999
3900000,-995.315,-924.3499999999999,-642.805
4000000,-995.335,-896.9100000000001,-441.3999999999999
4100000,-934.32,-746.24,-389.91499999999996
4200000,-976.525,-774.1400000000001,-315.96000000000004
4300000,-863.835,-559.02,-264.115
4400000,-910.865,-596.1200000000001,-251.435
4500000,-797.585,-522.45,-246.8
4600000,-877.6850000000001,-428.48,-235.46499999999997
4700000,-816.9200000000001,-390.57,-231.41500000000002
4800000,-807.3950000000001,-331.65999999999997,-235.375
4900000,-769.585,-341.28,-179.18499999999997
5000000,-751.1700000000001,-275.84000000000003,-159.47500000000002
5100000,-699.915,-248.45000000000002,-136.47
5200000,-686.295,-239.20999999999998,-98.43499999999999
5300000,-644.455,-217.72,-90.83999999999997
5400000,-519.2900000000001,-211.46,-84.75
5500000,-418.075,-217.43,-86.26999999999998
5600000,-364.435,-152.85000000000002,-70.84499999999998
5700000,-309.15999999999997,-125.35000000000001,-64.64999999999999
5800000,-253.9,-107.02000000000001,-64.64999999999999
5900000,-235.60999999999996,-134.49,-64.64999999999999
6000000,-253.9,-70.30000000000001,-64.64999999999999
6100000,-218.855,-88.64000000000001,-64.64999999999999
6200000,-189.375,-79.47000000000001,-64.64999999999999
6300000,-206.54000000000002,-70.30000000000001,-64.64999999999999
6400000,-145.85000000000002,-79.47000000000001,-64.64999999999999
6500000,-109.21999999999998,-70.30000000000001,-64.64999999999999
6600000,-105.05,-70.30000000000001,-64.64999999999999
6700000,-83.94999999999999,-68.0,-62.7
6800000,-84.39999999999999,-70.30000000000001,-64.64999999999999
6900000,-73.75000000000001,-68.0,-62.7
7000000,-73.75000000000001,-68.0,-62.7
7100000,-73.75000000000001,-68.0,-62.7
7200000,-73.75000000000001,-68.0,-62.7
7300000,-73.75000000000001,-68.0,-62.7
7400000,-73.75000000000001,-68.0,-62.7
7500000,-73.75000000000001,-68.0,-62.7
7600000,-73.75000000000001,-68.0,-62.7
7700000,-73.75000000000001,-68.0,-62.7
7800000,-73.75000000000001,-68.0,-62.7
7900000,-73.75000000000001,-68.0,-62.7
8000000,-73.75000000000001,-68.0,-62.7
8100000,-73.75000000000001,-68.0,-62.7
8200000,-73.75000000000001,-68.0,-62.7
8300000,-73.75000000000001,-68.0,-62.7
8400000,-73.75000000000001,-68.0,-62.7
8500000,-73.75000000000001,-68.0,-62.7
8600000,-73.75000000000001,-68.0,-62.7
8700000,-73.75000000000001,-68.0,-62.7
8800000,-73.75000000000001,-68.0,-62.7
8900000,-73.75000000000001,-68.0,-62.7
9000000,-73.75000000000001,-68.0,-62.7
9100000,-73.75000000000001,-68.0,-62.7
9200000,-73.75000000000001,-68.0,-62.7
9300000,-73.75000000000001,-68.0,-62.7
9400000,-73.75000000000001,-68.0,-62.7
9500000,-73.75000000000001,-68.0,-62.7
9600000,-73.75000000000001,-68.0,-62.7
9700000,-73.75000000000001,-68.0,-62.7
9800000,-73.75000000000001,-68.0,-62.7
9900000,-73.75000000000001,-68.0,-62.7
10000000,-73.75000000000001,-68.0,-62.7
