step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-1000.0
1100000,-1000.0,-1000.0,-1000.0
1200000,-1000.0,-1000.0,-1000.0
1300000,-1000.0,-1000.0,-1000.0
1400000,-1000.0,-1000.0,-905.81
1500000,-1000.0,-1000.0,-787.5200000000001
1600000,-1000.0,-981.4399999999999,-681.0200000000001
1700000,-962.9399999999999,-925.6800000000001,-561.2149999999999
1800000,-953.4300000000001,-796.06,-430.88
1900000,-865.0350000000001,-721.6999999999999,-381.685
2000000,-804.3999999999999,-609.98,-333.4050000000001
2100000,-667.685,-530.5300000000001,-228.75
2200000,-568.9100000000001,-410.05999999999995,-230.69000000000003
2300000,-442.55499999999995,-297.86,-178.855
2400000,-360.225,-242.37,-170.29
2500000,-286.46500000000003,-216.06,-113.775
2600000,-257.40000000000003,-149.45,-80.55
2700000,-253.055,-120.30999999999999,-80.55
2800000,-195.20999999999998,-118.41,-80.55
2900000,-253.95,-91.4,-76.75
3000000,-134.26500000000001,-91.4,-76.75
3100000,-95.04999999999998,-88.8,-75.85000000000001
3200000,-95.04999999999998,-88.8,-75.85000000000001
3300000,-95.04999999999998,-88.8,-75.85000000000001
3400000,-94.35,-88.8,-75.85000000000001
3500000,-94.35,-88.8,-75.85000000000001
3600000,-94.35,-88.8,-75.85000000000001
3700000,-93.64999999999999,-88.8,-75.85000000000001
3800000,-93.64999999999999,-88.8,-75.85000000000001
3900000,-93.64999999999999,-88.8,-75.85000000000001
4000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4100000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4200000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4300000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4400000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4500000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4600000,-93.30000000000001,-84.89999999999999,-74.79999999999998
