step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-1000.0
1100000,-1000.0,-1000.0,-897.35
1200000,-1000.0,-990.77,-791.175
1300000,-1000.0,-934.9300000000001,-594.4599999999999
1400000,-1000.0,-796.1,-493.00999999999993
1500000,-981.71,-640.51,-408.22999999999996
1600000,-881.8549999999999,-604.21,-326.81499999999994
1700000,-790.28,-477.75999999999993,-275.58000000000004
1800000,-637.5,-355.41999999999996,-246.03
1900000,-535.7400000000001,-286.71000000000004,-162.155
2000000,-466.79499999999996,-277.9,-102.75
2100000,-374.725,-252.63,-92.44500000000001
2200000,-303.98999999999995,-216.57999999999998,-84.6
2300000,-277.65000000000003,-222.28999999999996,-84.05
2400000,-250.315,-125.53,-83.89999999999999
2500000,-190.475,-102.9,-82.25
2600000,-167.65,-96.8,-80.79999999999998
2700000,-114.75999999999999,-95.3,-80.79999999999998
2800000,-114.66999999999999,-97.1,-80.79999999999998
2900000,-105.75,-95.8,-80.79999999999998
3000000,-103.95,-95.8,-80.79999999999998
3100000,-103.95,-95.8,-80.79999999999998
3200000,-102.65,-95.1,-80.79999999999998
3300000,-102.65,-95.1,-80.79999999999998
3400000,-102.65,-95.1,-80.79999999999998
3500000,-102.65,-95.1,-80.79999999999998
3600000,-102.65,-95.1,-80.79999999999998
3700000,-102.65,-95.1,-80.79999999999998
3800000,-102.65,-95.1,-80.79999999999998
3900000,-102.65,-95.1,-80.79999999999998
4000000,-102.65,-95.1,-80.79999999999998
4100000,-102.65,-95.1,-80.79999999999998
4200000,-102.4,-94.4,-77.69999999999999
4300000,-102.4,-94.4,-77.69999999999999
4400000,-102.4,-94.4,-77.69999999999999
4500000,-102.4,-94.4,-77.69999999999999
4600000,-102.4,-94.4,-77.69999999999999
4700000,-102.4,-94.4,-77.69999999999999
4800000,-102.4,-94.4,-77.69999999999999
4900000,-102.4,-94.4,-77.69999999999999
5000000,-102.4,-94.4,-77.69999999999999
5100000,-102.4,-94.4,-77.69999999999999
5200000,-102.4,-94.4,-77.69999999999999
5300000,-102.4,-94.4,-77.69999999999999
5400000,-102.4,-94.4,-77.69999999999999
5500000,-102.4,-94.4,-77.69999999999999
5600000,-102.4,-94.4,-77.69999999999999
5700000,-102.4,-94.4,-77.69999999999999
5800000,-102.4,-94.4,-77.69999999999999
5900000,-102.4,-94.4,-77.69999999999999
6000000,-102.4,-94.4,-77.69999999999999
6100000,-102.4,-94.4,-77.69999999999999
6200000,-102.4,-94.4,-77.69999999999999
6300000,-102.4,-94.4,-77.69999999999999
6400000,-102.4,-94.4,-77.69999999999999
6500000,-102.4,-94.4,-77.69999999999999
6600000,-102.4,-94.4,-77.69999999999999
6700000,-102.4,-94.4,-77.69999999999999
6800000,-102.4,-94.4,-77.69999999999999
6900000,-102.4,-94.4,-77.69999999999999
7000000,-102.4,-94.4,-77.69999999999999
7100000,-102.4,-94.4,-77.69999999999999
7200000,-102.4,-94.4,-77.69999999999999
7300000,-102.4,-94.4,-77.69999999999999
7400000,-102.4,-94.4,-77.69999999999999
7500000,-102.4,-94.4,-77.69999999999999
7600000,-102.4,-94.4,-77.69999999999999
7700000,-102.4,-94.4,-77.69999999999999
7800000,-102.4,-94.4,-77.69999999999999
7900000,-102.4,-94.4,-77.69999999999999
8000000,-102.4,-94.4,-77.69999999999999
8100000,-102.4,-94.4,-77.69999999999999
8200000,-102.4,-94.4,-77.69999999999999
8300000,-102.4,-94.4,-77.69999999999999
8400000,-102.4,-94.4,-77.69999999999999
8500000,-102.4,-94.4,-77.69999999999999
8600000,-102.4,-94.4,-77.69999999999999
8700000,-102.4,-94.4,-77.69999999999999
8800000,-102.4,-94.4,-77.69999999999999
8900000,-102.4,-94.4,-77.69999999999999
9000000,-102.4,-94.4,-77.69999999999999
9100000,-102.4,-94.4,-77.69999999999999
9200000,-102.4,-94.4,-77.69999999999999
9300000,-102.4,-94.4,-77.69999999999999
9400000,-102.4,-94.4,-77.69999999999999
9500000,-102.4,-94.4,-77.69999999999999
9600000,-102.4,-94.4,-77.69999999999999
9700000,-102.4,-94.4,-77.69999999999999
9800000,-102.4,-94.4,-77.69999999999999
9900000,-102.4,-94.4,-77.69999999999999
10000000,-102.4,-94.4,-77.69999999999999
