step,first quantile,median value,third quantile
0,-1000.0,-1000.0,-1000.0
100000,-1000.0,-1000.0,-1000.0
200000,-1000.0,-1000.0,-1000.0
300000,-1000.0,-1000.0,-1000.0
400000,-1000.0,-1000.0,-1000.0
500000,-1000.0,-1000.0,-1000.0
600000,-1000.0,-1000.0,-1000.0
700000,-1000.0,-1000.0,-1000.0
800000,-1000.0,-1000.0,-1000.0
900000,-1000.0,-1000.0,-1000.0
1000000,-1000.0,-1000.0,-1000.0
1100000,-1000.0,-1000.0,-1000.0
1200000,-1000.0,-1000.0,-1000.0
1300000,-1000.0,-1000.0,-1000.0
1400000,-1000.0,-1000.0,-1000.0
1500000,-1000.0,-1000.0,-1000.0
1600000,-1000.0,-1000.0,-1000.0
1700000,-1000.0,-1000.0,-1000.0
1800000,-1000.0,-1000.0,-1000.0
1900000,-1000.0,-1000.0,-1000.0
2000000,-1000.0,-1000.0,-1000.0
2100000,-1000.0,-1000.0,-980.96
2200000,-995.3,-971.8,-843.7600000000001
2300000,-1000.0,-952.8200000000002,-810.6500000000001
2400000,-985.92,-830.26,-764.245
2500000,-962.42,-792.46,-621.325
2600000,-953.0649999999999,-801.6100000000001,-580.6550000000001
2700000,-910.8149999999999,-641.8700000000001,-412.19999999999993
2800000,-873.88,-494.03000000000003,-368.375
2900000,-789.8699999999999,-383.89,-291.04999999999995
3000000,-706.9799999999999,-289.63,-225.29000000000002
3100000,-638.03,-306.90999999999997,-147.21999999999997
3200000,-431.7099999999999,-288.96999999999997,-148.635
3300000,-404.38,-157.23000000000002,-71.83999999999999
3400000,-346.51,-120.64,-80.15999999999998
3500000,-302.505,-117.95999999999998,-67.25
3600000,-217.4,-72.1,-64.94999999999999
3700000,-217.4,-72.1,-64.94999999999999
3800000,-188.79000000000002,-75.79999999999998,-66.9
3900000,-83.22999999999999,-75.79999999999998,-66.9
4000000,-82.10000000000001,-72.1,-64.94999999999999
4100000,-82.10000000000001,-72.1,-64.94999999999999
4200000,-82.10000000000001,-72.1,-64.94999999999999
4300000,-82.10000000000001,-72.1,-64.94999999999999
4400000,-82.10000000000001,-72.1,-64.94999999999999
4500000,-82.10000000000001,-72.1,-64.94999999999999
4600000,-77.69999999999999,-72.1,-64.94999999999999
4700000,-77.69999999999999,-72.1,-64.94999999999999
4800000,-77.69999999999999,-72.1,-64.94999999999999
4900000,-77.69999999999999,-72.1,-64.94999999999999
5000000,-77.69999999999999,-72.1,-64.94999999999999
5100000,-77.69999999999999,-72.1,-64.94999999999999
5200000,-77.69999999999999,-72.1,-64.94999999999999
5300000,-77.69999999999999,-72.1,-64.94999999999999
5400000,-77.69999999999999,-72.1,-64.94999999999999
5500000,-77.69999999999999,-72.1,-64.94999999999999
5600000,-77.69999999999999,-72.1,-64.94999999999999
5700000,-77.69999999999999,-72.1,-64.94999999999999
5800000,-77.69999999999999,-72.1,-64.94999999999999
5900000,-77.69999999999999,-72.1,-64.94999999999999
6000000,-77.69999999999999,-72.1,-64.94999999999999
6100000,-77.69999999999999,-72.1,-64.94999999999999
6200000,-77.69999999999999,-72.1,-64.94999999999999
6300000,-77.69999999999999,-72.1,-64.94999999999999
6400000,-77.69999999999999,-72.1,-64.94999999999999
6500000,-77.69999999999999,-72.1,-64.94999999999999
6600000,-77.69999999999999,-72.1,-64.94999999999999
6700000,-77.69999999999999,-72.1,-64.94999999999999
6800000,-77.69999999999999,-72.1,-64.94999999999999
6900000,-77.69999999999999,-72.1,-64.94999999999999
7000000,-77.69999999999999,-72.1,-64.94999999999999
7100000,-77.69999999999999,-72.1,-64.94999999999999
7200000,-77.69999999999999,-72.1,-64.94999999999999
7300000,-77.69999999999999,-72.1,-64.94999999999999
7400000,-77.69999999999999,-72.1,-64.94999999999999
7500000,-77.69999999999999,-72.1,-64.94999999999999
7600000,-77.69999999999999,-72.1,-64.94999999999999
7700000,-77.69999999999999,-72.1,-64.94999999999999
7800000,-77.69999999999999,-72.1,-64.94999999999999
7900000,-77.69999999999999,-72.1,-64.94999999999999
8000000,-77.69999999999999,-72.1,-64.94999999999999
8100000,-77.69999999999999,-72.1,-64.94999999999999
8200000,-77.69999999999999,-72.1,-64.94999999999999
8300000,-77.69999999999999,-72.1,-64.94999999999999
8400000,-77.69999999999999,-72.1,-64.94999999999999
8500000,-77.69999999999999,-72.1,-64.94999999999999
8600000,-77.69999999999999,-72.1,-64.94999999999999
8700000,-77.69999999999999,-72.1,-64.94999999999999
8800000,-77.69999999999999,-72.1,-64.94999999999999
8900000,-77.69999999999999,-72.1,-64.94999999999999
9000000,-77.69999999999999,-72.1,-64.94999999999999
9100000,-77.69999999999999,-72.1,-64.94999999999999
9200000,-77.69999999999999,-72.1,-64.94999999999999
9300000,-77.69999999999999,-72.1,-64.94999999999999
9400000,-77.69999999999999,-72.1,-64.94999999999999
9500000,-77.69999999999999,-72.1,-64.94999999999999
9600000,-77.69999999999999,-72.1,-64.94999999999999
9700000,-77.69999999999999,-72.1,-64.94999999999999
9800000,-77.69999999999999,-72.1,-64.94999999999999
9900000,-77.69999999999999,-72.1,-64.94999999999999
10000000,-77.69999999999999,-72.1,-64.94999999999999
